START,TMIN,TMAX,Year,Month,Day
1,-11,-2,2003,1,1
2,-14,-2,2003,1,2
3,-7,0,2003,1,3
4,-3,0,2003,1,4
5,-6,-3,2003,1,5
6,-3,12,2003,1,6
7,-3,13,2003,1,7
8,-8,3,2003,1,8
9,-17,-8,2003,1,9
10,-19,-10,2003,1,10
11,-19,-1,2003,1,11
12,-20,-13,2003,1,12
13,-20,-11,2003,1,13
14,-21,-7,2003,1,14
15,-14,-5,2003,1,15
16,-21,-6,2003,1,16
17,-17,-5,2003,1,17
18,-19,-6,2003,1,18
19,-18,-11,2003,1,19
20,-23,-12,2003,1,20
21,-23,-16,2003,1,21
22,-27,-15,2003,1,22
23,-18,-11,2003,1,23
24,-18,-10,2003,1,24
25,-24,-15,2003,1,25
26,-23,-5,2003,1,26
27,-13,-3,2003,1,27
28,-22,-9,2003,1,28
29,-13,-2,2003,1,29
30,-3,0,2003,1,30
31,-2,1,2003,1,31
32,-1,1,2003,2,1
33,-10,0,2003,2,2
34,-19,-10,2003,2,3
35,-24,-10,2003,2,4
36,-22,-13,2003,2,5
37,-30,-6,2003,2,6
38,-21,-5,2003,2,7
39,-26,-6,2003,2,8
40,-25,-10,2003,2,9
41,-24,-8,2003,2,10
42,-25,-12,2003,2,11
43,-17,-4,2003,2,12
44,-19,-6,2003,2,13
45,-19,-8,2003,2,14
46,-24,-4,2003,2,15
47,-13,0,2003,2,16
48,-10,0,2003,2,17
49,-12,3,2003,2,18
50,-3,7,2003,2,19
51,-8,0,2003,2,20
52,-14,-6,2003,2,21
53,-18,-12,2003,2,22
54,-23,-15,2003,2,23
55,-26,-7,2003,2,24
56,-17,-2,2003,2,25
57,-14,3,2003,2,26
58,-11,4,2003,2,27
59,-11,4,2003,2,28
60,-21,-10,2003,3,1
61,-18,-4,2003,3,2
62,-18,-11,2003,3,3
63,-27,-10,2003,3,4
64,-21,-4,2003,3,5
65,-12,-4,2003,3,6
66,-20,-10,2003,3,7
67,-24,-12,2003,3,8
68,-29,-10,2003,3,9
69,-12,3,2003,3,10
70,-10,-3,2003,3,11
71,-11,2,2003,3,12
72,-1,14,2003,3,13
73,2,18,2003,3,14
74,3,18,2003,3,15
75,1,14,2003,3,16
76,1,9,2003,3,17
77,1,9,2003,3,18
78,0,2,2003,3,19
79,0,4,2003,3,20
80,0,15,2003,3,21
81,0,21,2003,3,22
82,4,16,2003,3,23
83,0,12,2003,3,24
84,-4,13,2003,3,25
85,0,5,2003,3,26
86,-2,2,2003,3,27
87,-4,6,2003,3,28
88,-6,8,2003,3,29
89,-5,14,2003,3,30
90,-1,15,2003,3,31
91,-1,7,2003,4,1
92,-5,-1,2003,4,2
93,-6,-3,2003,4,3
94,-8,3,2003,4,4
95,-9,6,2003,4,5
96,-3,6,2003,4,6
97,-8,11,2003,4,7
98,-3,16,2003,4,8
99,1,23,2003,4,9
100,-1,20,2003,4,10
101,0,17,2003,4,11
102,6,25,2003,4,12
103,17,31,2003,4,13
104,5,21,2003,4,14
105,0,5,2003,4,15
106,-1,3,2003,4,16
107,0,7,2003,4,17
108,4,11,2003,4,18
109,3,7,2003,4,19
110,4,17,2003,4,20
111,-2,17,2003,4,21
112,0,21,2003,4,22
113,3,20,2003,4,23
114,6,18,2003,4,24
115,-1,23,2003,4,25
116,13,22,2003,4,26
117,3,16,2003,4,27
118,1,14,2003,4,28
119,5,18,2003,4,29
120,-1,21,2003,4,30
121,0,18,2003,5,1
122,-1,20,2003,5,2
123,7,15,2003,5,3
124,7,10,2003,5,4
125,8,15,2003,5,5
126,8,19,2003,5,6
127,4,19,2003,5,7
128,8,15,2003,5,8
129,5,14,2003,5,9
130,8,16,2003,5,10
131,6,20,2003,5,11
132,1,22,2003,5,12
133,8,19,2003,5,13
134,3,23,2003,5,14
135,4,23,2003,5,15
136,6,24,2003,5,16
137,10,24,2003,5,17
138,9,19,2003,5,18
139,3,16,2003,5,19
140,0,18,2003,5,20
141,8,10,2003,5,21
142,3,19,2003,5,22
